G21479	Acha6-8
G30735	Acha6-9
G25805	Acha7-1
G13723	Acha7-10
G1288	Acha7-11
G1403	Acha7-12
G4506	Acha7-13
G4507	Acha7-14
G32285	Acha7-15
G32172	Acha7-16
G34865	Acha7-17
G35346	Acha7-18
G35345	Acha7-19
G27723	Acha7-2
G25259	Acha7-3
G27721	Acha7-4
G23218	Acha7-5
G22831	Acha7-6
G30750	Acha7-7
G28393	Acha7-8
G10125	Acha7-9
G13725	Acha9-1
G12577	Acha9-2
G2263	Acha9-3
G4876	Acha9-4
G35289	Acha9-5
G1290	Achab
G5258	Achatin-NP
G28183	Achb-1
G25804	Achb-2
G28180	Achb-3
G24968	Achb-4
G29054	Achb2-1
G14984	Achb2-2
G16957	Achb3-1
G19622	Achb3-2
G7727	Achb3-3
G1378	Achb3-4
G5911	Achb3-5
G31916	Achb3-6
G12844	Achc-1
G12848	Achc-2
G25467	Achd-1
G5788	Achd-2
G5660	Achd-3
G13031	Achn2
G21555	Acinu
G23403	Ack1
G23393	Ackl
G27585	Ackmt
G513	Acl4
G4747	Acl6a
G17177	Acly
G6269	Acm2
G10917	Acm3-1
G6072	Acm3-2
G32790	Acmsd
G13323	Acnt2
G2419	Aco13-1
G2720	Aco13-2
G7144	Acoc
G398	Acod
G2085	Acon
G13324	Acot1-1
G13328	Acot1-2
G13327	Acot1-3
G13326	Acot1-4
G13325	Acot1-5
G32114	Acot1-6
G32115	Acot1-7
G22759	Acot8
G22782	Acot9
G30503	Acox1-1
G5763	Acox1-2
G6399	Acox1-3
G4863	Acox1-4
G23748	Acox3
G20208	Acp7-1
G21596	Acp7-2
G29076	Acp7-3
G11875	Acp7-4
G1779	Acpm
G27403	Acrc
G11095	Acs2l
G163	Acsa
G24083	Acsf2-1
G26017	Acsf2-2
G25663	Acsf2-3
G24078	Acsf2-4
G25662	Acsf2-5
G27093	Acsf2-6
G28277	Acsf2-7
G28226	Acsf2-8
G22721	Acsf3
G26758	Acsf4
G1375	Acsl1
G14465	Acsl4
G2898	Acsl5
G1893	Acsm3
G4151	Acss3
G27522	Act-1
G22476	Act-2
G21818	Act-3
G3054	Act-4
G3061	Act-5
G3062	Act-6
G34804	Act-7
G21819	Act1-1
G28428	Act1-2
G6437	Act1-3
G6436	Act1-4
G6435	Act1-5
G6434	Act1-6
G22477	Act2-1
G34803	Act2-2
G22478	Act3-1
G1173	Act3-2
G16208	Act3-3
G16211	Act3-4
G16205	Act3a
G22475	Actc-1
G3064	Actc-2
G3055	Actc-3
G3063	Actc-4
G1174	Actc-5
G11380	Actp
G15282	Actz
G28032	Acvr1
G28511	Acy1-1
G28505	Acy1-2
G13311	Acyp1-1
G13313	Acyp1-2
G6914	Ada-1
G6911	Ada-2
G7263	Ada10-1
G7288	Ada10-10
G7229	Ada10-11
G7284	Ada10-12
G7246	Ada10-13
G7234	Ada10-2
G8360	Ada10-3
G7286	Ada10-4
G7218	Ada10-5
G7237	Ada10-6
G7287	Ada10-7
G7228	Ada10-8
G7230	Ada10-9
G15703	Ada12
G25523	Ada17-1
G25525	Ada17-2
G25142	Ada17-3
G25237	Ada17-4
G14423	Ada17-5
G33466	Ada17-6
G30747	Ada1a-1
G14343	Ada1a-2
G32614	Ada1a-3
G35428	Ada1b
G3072	Ada2-1
G6623	Ada2-2
G35405	Ada22
G27969	Ada2a-1
G16214	Ada2a-2
G27970	Ada2c-1
G15863	Ada2c-2
G32761	Ada2c-3
G1413	Adap1
G4810	Adas
G21060	Adat1
G26606	Adat3
G12446	Adck1
G35222	Adck5
G32813	Adcy1
G22961	Adcy2
G6558	Adcy3
G32677	Adcy5
G27428	Adcy9
G10782	Adcya
G16954	Adgb
G3500	Adhx
G1554	Adip
G22101	Adipl
G1488	Adk1
G12779	Adk2
G11824	Adpgk-1
G10999	Adpgk-2
G26187	Adppt
G310	Adprh-1
G303	Adprh-2
G309	Adprh-3
G308	Adprh-4
G305	Adprh-5
G21549	Adprm-1
G1328	Adprm-2
G15716	Adprs
G29172	Adra2-1
G4478	Adra2-2
G12309	Adrb1-1
G32110	Adrb1-2
G18596	Adrb2-1
G23864	Adrb2-2
G30220	Adrl
G4344	Adrm1
G296	Adro
G730	Adt-1
G996	Adt-2
G994	Adt-3
G4787	Adt1-1
G14683	Adt1-2
G17492	Adx
G2945	Adxh1
G6388	Aebp1
G18682	AEBP2-TF
G25706	Aedo
G32196	Af10
G21826	Af1l1
G11634	Af9
G16885	Afad
G27413	Aff4
G19058	Afg1l
G24605	Afg2h
G20890	Afg32
G13335	Aftin
G30760	Ag10a
G18705	Agal
G6905	Agap1
G15730	Agfg1
G10690	Aggf1
G23605	Agl12
G4089	Agm1
G3761	Ago2-1
G7014	Ago2-2
G3760	Ago2-3
G3762	Ago2-4
G3222	Ago3
G15331	Agra3
G3407	Agrb1-1
G5772	Agrb1-2
G15596	Agrb1-3
G33588	Agrb1-4
G22833	Agrb2
G5777	Agrb3-1
G14672	Agrb3-2
G20228	Agrd1-1
G16104	Agrd1-2
G14081	Agrd1-3
G23442	Agre5-1
G1369	Agre5-2
G5778	Agrf3-1
G33765	Agrf3-2
G31115	Agrg4
G16880	Agrg6-1
G25329	Agrg6-2
G5694	Agrg6-3
G26982	Agrin-1
G21862	Agrin-2
G21034	Agrin-3
G1333	Agrin-4
G33766	Agrl1
G17077	Agrl2-1
G17078	Agrl2-2
G3580	Agrl2-3
G5050	Agrl2-4
G17725	Agrl3-1
G216	Agrl3-10
G5784	Agrl3-11
G34060	Agrl3-12
G19730	Agrl3-2
G9314	Agrl3-3
G9313	Agrl3-4
G9302	Agrl3-5
G25573	Agrl3-6
G28533	Agrl3-7
G1571	Agrl3-8
G2181	Agrl3-9
G11442	Agrv1
G3071	Agsa
G22353	Agt2
G10162	Agtrb
G610	Ahi1
G18159	AHR-1-TF
G18160	AHR-2-TF
G14521	Ahr-3
G11623	Ahsa1
G11576	Aida
G16883	Aif1-1
G16847	Aif1-2
G26572	Aifm1
G5485	Aig1
G25035	Aimp1
G3370	Aimp2
G23005	Aip
G15143	Ajl2
G23786	Ajuba
G24542	Ak17a
G29653	Ak1a1
G29660	Ak1ba-1
G29655	Ak1ba-2
G29656	Ak1ba-3
G29654	Ak1ba-4
G35306	Ak1ba-5
G23619	Aka10
G16676	Aka14-1
G16639	Aka14-2
G26932	Aka7g-1
G26933	Aka7g-2
G26931	Aka7g-3
G22200	Akap1
G12624	Akap6
G31302	Akap9-1
G31321	Akap9-10
G31394	Akap9-11
G31332	Akap9-12
G31304	Akap9-13
G31366	Akap9-14
G31340	Akap9-15
G31313	Akap9-2
G31301	Akap9-3
G31319	Akap9-4
G31369	Akap9-5
G31400	Akap9-6
G31308	Akap9-7
G31341	Akap9-8
G31385	Akap9-9
G25591	Akcl2-1
G4317	Akcl2-2
G12384	Akd1a-1
G5904	Akd1a-2
G15679	AKH-GNRH-NP
G25916	Akib1
G17340	Akira
G10149	Akp13-1
G10151	Akp13-2
G12741	Akt1
G12743	Akt3
G22552	Aktip
G4574	Akts1
G13708	Al14e
G10331	Al1a1
G11949	Al1a2
G29489	Al1l1
G29484	Al1l2-1
G29483	Al1l2-2
G4880	Al3b1
G21946	Al4a1
G11673	Al7a1
G6712	Al8a1
G32030	Al9a1
G30434	Alat2
G12763	Aldh2
G34649	Alf-1
G34645	Alf-2
G3163	Alg1
G34621	Alg11
G28493	Alg12
G24524	Alg13-1
G28279	Alg13-2
G2145	Alg14
G2023	Alg2
G23749	Alg3
G27700	Alg5
G1957	Alg6
G4588	Alg8
G15197	Alg9
G17724	Alk-1
G25834	Alk-2
G11174	Alk-3
G12644	Alkb1
G19620	Alkb3
G21296	Alkb4
G374	Alkb5
G12807	Alkb6
G911	Alkb7-1
G928	Alkb7-2
G24096	Alkb8
G16903	Alkj-1
G16910	Alkj-2
G1753	Alkmo-1
G6058	Alkmo-3
G5083	Allatostatin-A-NP
G23810	Allatostatin-C-NP
G26023	Allatotropin-NP
G15626	Allc
G16603	Alms1-1
G16606	Alms1-2
G22777	Aln
G29119	Alo
G21204	Alp1-1
G30037	Alp1-2
G10414	Alp1-3
G10942	Alp1-4
G3604	Alp1-5
G34083	Alp1-6
G34485	Alp1-7
G27000	Alp11
G18739	Alpl-1
G15942	Alpl-10
G16678	Alpl-11
G15100	Alpl-12
G34453	Alpl-13
G34448	Alpl-14
G32993	Alpl-15
G9513	Alpl-2
G9978	Alpl-3
G7311	Alpl-4
G23129	Alpl-5
G30668	Alpl-6
G11914	Alpl-7
G2476	Alpl-8
G1016	Alpl-9
G35395	Alr
G7000	Als-1
G6998	Als-2
G15640	Als-3
G31495	Als-4
G28058	Als2-1
G28054	Als2-2
G6253	ALX4-TF
G10776	Amacr
G13100	Ambp
G13679	Amd
G13235	Amda
G21995	Amfr
G28296	Amid-1
G28309	Amid-2
G28299	Amid-3
G28308	Amid-4
G28292	Amid-5
G28301	Amid-6
G28303	Amid-7
G28300	Amid-8
G15022	Ammr1
G19446	Amn1
G11702	Amnls
G11908	Amo-1
G13220	Amo-2
G31593	Amo-3
G31963	Amo-4
G35202	Amo-5
G15868	Amot
G26067	Ampd2
G12780	Ampe-1
G2251	Ampe-2
G5130	Amph
G16063	Ampl
G17235	Ampn-1
G9737	Ampn-2
G12783	Ampn-3
G32740	Ampn-4
G32739	Ampn-5
G24967	Ampp1
G17076	Amra1
G3213	Amrp
G4167	Amt1-1
G4171	Amt1-2
G4166	Amt1-3
G4170	Amt1-4
G4169	Amt1-5
G5668	Amt1-6
G12993	Amt3-1
G11458	Amt3-2
G35517	Amy-1
G35515	Amy-2
G24528	Amy1-1
G22637	Amy1-2
G25068	Amz2-1
G13672	Amz2-2
G4952	Amz2-3
G23300	An13d
G9121	An32a
G25765	An33b
G162	Anag
G25732	Anc2
G20439	Anfy1
G12629	Ange2
G10175	Angl1
G29628	Angl2-1
G32113	Angl2-2
G29626	Angl6
G9871	Angl7-1
G20392	Angl7-2
G12732	Angl7-3
G31661	Angl7-4
G35241	Angl7-5
G25381	Angp1-1
G12867	Angp1-2
G7955	Angp2-1
G7957	Angp2-2
G23322	Angp2-3
G30640	Angp2-4
G29627	Angp2-5
G10839	Angp2-6
G4159	Angp2-7
G17087	Angp4-1
G28456	Angp4-10
G28457	Angp4-11
G6187	Angp4-12
G31953	Angp4-13
G19376	Angp4-2
G17086	Angp4-3
G7967	Angp4-4
G7958	Angp4-5
G8823	Angp4-6
G20160	Angp4-7
G28453	Angp4-8
G28718	Angp4-9
G19431	Ank1-1
G30943	Ank1-10
G13044	Ank1-11
G13755	Ank1-12
G5068	Ank1-13
G5072	Ank1-14
G14306	Ank1-15
G16626	Ank1-16
G31418	Ank1-17
G17957	Ank1-2
G17496	Ank1-3
G9207	Ank1-4
G9204	Ank1-5
G20848	Ank1-6
G31069	Ank1-7
G29060	Ank1-8
G31088	Ank1-9
G9145	Ank2-1
G21393	Ank2-2
G3756	Ank2-3
G18794	Ank3-1
G25431	Ank3-10
G28137	Ank3-11
G12746	Ank3-12
G2075	Ank3-13
G200	Ank3-14
G2783	Ank3-15
G1008	Ank3-16
G2699	Ank3-17
G199	Ank3-18
G4772	Ank3-19
G18795	Ank3-2
G6387	Ank3-20
G31413	Ank3-21
G32011	Ank3-22
G33659	Ank3-23
G34913	Ank3-24
G18260	Ank3-3
G9205	Ank3-4
G8389	Ank3-5
G8611	Ank3-6
G25406	Ank3-7
G27802	Ank3-8
G27296	Ank3-9
G21340	Ankar-1
G31488	Ankar-2
G11009	Anke1
G1771	Ankf1
G28291	Ankh1-1
G28307	Ankh1-2
G20810	Ankk1-1
G3999	Ankk1-2
G11800	Ankl1
G26463	Ankl2
G17018	Ankr6
G28478	Ankr7-1
G35294	Ankr7-2
G25492	Anks3-1
G25488	Anks3-2
G20993	Anks6
G22158	Ankub
G15333	Anky1
G6684	Anky2-1
G14279	Anky2-2
G32365	ANKZF1-TF
G22385	Anln
G3773	Anm1
G22383	Anm5
G30457	Anm6
G4929	Anm61
G20777	Anm7
G26257	Anm9
G35356	Anmk
G23198	Annu
G18775	Ano1
G20179	Ano10
G15077	Ano39
G19356	Ano4-1
G19335	Ano4-2
G27678	Ano5
G27679	Ano7-1
G22769	Ano7-2
G10786	Ano8
G23095	Anp1
G9096	Anpra-1
G4482	Anpra-10
G4313	Anpra-11
G4314	Anpra-12
G5737	Anpra-13
G15174	Anpra-14
G31770	Anpra-15
G35021	Anpra-16
G25423	Anpra-2
G23012	Anpra-3
G23741	Anpra-4
G21912	Anpra-5
G20860	Anpra-6
G20855	Anpra-7
G582	Anpra-8
G581	Anpra-9
G23740	Anprb-1
G23487	Anprb-2
G23705	Anprb-3
G15175	Anprb-4
G19953	Anprc-1
G9098	Anprc-2
G9097	Anprc-3
G27978	Anr
G25616	Anr10
G20738	Anr12
G28348	Anr16-1
G28328	Anr16-2
G28358	Anr16-3
G28335	Anr16-4
G28344	Anr16-5
G30416	Anr17-1
G3211	Anr17-2
G28474	Anr26
G22063	Anr27-1
G22008	Anr27-2
G31971	Anr28
G7586	Anr29-1
G23610	Anr29-2
G1962	Anr29-3
G15744	Anr39
G3336	Anr40
G14517	Anr42
G18996	Anr44-1
G29061	Anr44-2
G16607	Anr44-3
G33313	Anr44-4
G27582	Anr45
G34684	Anr46
G4740	Anr49
G25910	Anr50-1
G2267	Anr50-10
G25649	Anr50-2
G24907	Anr50-3
G21941	Anr50-4
G22011	Anr50-5
G21857	Anr50-6
G21944	Anr50-7
G30078	Anr50-8
G13762	Anr50-9
G7680	Anr52-1
G7683	Anr52-2
G7682	Anr52-3
G28764	Anr52-4
G15775	Anr52-5
G32246	Anr52-6
G15711	Anr53
G21768	Anr54-1
G943	Anr54-2
G22066	Anr55-1
